time_ms,mode,continuity_score,handoff_event_bool
18500,Baseline,0.987271,0
18600,Baseline,0.987918,0
18700,Baseline,0.988572,0
18800,Baseline,0.989227,0
18900,Baseline,0.989872,0
19000,Baseline,0.990495,0
19100,Baseline,0.991131,0
19200,Baseline,0.991760,0
19300,Baseline,0.992396,0
19400,Baseline,0.993032,0
19500,Baseline,0.993680,0
19600,Baseline,0.994316,0
19700,Baseline,0.994939,0
19800,Baseline,0.995572,0
19900,Baseline,0.996204,0
20000,Baseline,0.996802,0
20100,Baseline,0.997363,0
20200,Baseline,0.997888,0
20300,Baseline,0.998369,0
20400,Baseline,0.998638,0
20500,Baseline,0.998813,0
20600,Baseline,0.998739,0
20700,Baseline,0.998403,0
20800,Baseline,0.997932,0
20900,Baseline,0.997409,0
21000,Baseline,0.996840,0
21100,Baseline,0.996256,0
21200,Baseline,0.995631,0
21300,Baseline,0.994995,0
21400,Baseline,0.994350,0
21500,Baseline,0.993703,0
21600,Baseline,0.993061,0
21700,Baseline,0.992420,0
21800,Baseline,0.991776,0
21900,Baseline,0.991133,0
22000,Baseline,0.990495,0
22100,Baseline,0.989829,0
22200,Baseline,0.989182,0
22300,Baseline,0.988540,0
22400,Baseline,0.987874,0
22500,Baseline,0.987210,0
22600,Baseline,0.986548,0
22700,Baseline,0.985893,0
22800,Baseline,0.985265,0
22900,Baseline,0.984641,0
23000,Baseline,0.984018,0
23100,Baseline,0.983387,0
23200,Baseline,0.982744,0
23300,Baseline,0.982104,0
23400,Baseline,0.981482,0
23500,Baseline,0.980841,0
23600,Baseline,0.980209,0
23700,Baseline,0.979582,0
23800,Baseline,0.978946,0
23900,Baseline,0.978321,0
24000,Baseline,0.977684,0
24100,Baseline,0.977043,0
24200,Baseline,0.976399,0
24300,Baseline,0.975772,0
24400,Baseline,0.975147,0
24500,Baseline,0.974498,0
24600,Baseline,0.973857,0
24700,Baseline,0.973212,0
24800,Baseline,0.972572,0
24900,Baseline,0.971951,0
25000,Baseline,0.971323,0
25100,Baseline,0.970687,0
25200,Baseline,0.970066,0
25300,Baseline,0.969428,0
25400,Baseline,0.968784,0
25500,Baseline,0.968128,0
25600,Baseline,0.967484,0
25700,Baseline,0.966835,0
25800,Baseline,0.966188,0
25900,Baseline,0.965539,0
26000,Baseline,0.964886,0
26100,Baseline,0.964253,0
26200,Baseline,0.963612,0
26300,Baseline,0.962985,0
26400,Baseline,0.962353,0
26500,Baseline,0.961715,0
26600,Baseline,0.961082,0
26700,Baseline,0.960456,0
26800,Baseline,0.959810,0
26900,Baseline,0.959149,0
27000,Baseline,0.958487,0
27100,Baseline,0.957826,0
27200,Baseline,0.957173,0
27300,Baseline,0.956535,0
27400,Baseline,0.955899,0
27500,Baseline,0.955254,0
27600,Baseline,0.954606,0
27700,Baseline,0.953951,0
27800,Baseline,0.953293,0
27900,Baseline,0.952620,0
28000,Baseline,0.951959,0
28100,Baseline,0.951309,0
28200,Baseline,0.950644,0
28300,Baseline,0.949986,0
28400,Baseline,0.949335,0
28500,Baseline,0.948686,0
28600,Baseline,0.948049,0
28700,Baseline,0.947416,0
28800,Baseline,0.946778,0
28900,Baseline,0.946132,0
29000,Baseline,0.945487,0
29100,Baseline,0.944854,0
29200,Baseline,0.944224,0
29300,Baseline,0.943594,0
29400,Baseline,0.942972,0
29500,Baseline,0.942354,0
29600,Baseline,0.941746,0
29700,Baseline,0.941119,0
29800,Baseline,0.940488,0
29900,Baseline,0.939842,0
30000,Baseline,0.939214,1
30100,Baseline,0.938734,0
30200,Baseline,0.938450,0
30300,Baseline,0.938311,0
30400,Baseline,0.938312,0
30500,Baseline,0.938430,0
30600,Baseline,0.938644,0
30700,Baseline,0.938931,0
30800,Baseline,0.939290,0
30900,Baseline,0.939681,0
31000,Baseline,0.940127,0
31100,Baseline,0.940602,0
31200,Baseline,0.941090,0
31300,Baseline,0.941612,0
31400,Baseline,0.942141,0
31500,Baseline,0.942690,0
31600,Baseline,0.943258,0
31700,Baseline,0.943855,0
31800,Baseline,0.944445,0
31900,Baseline,0.945049,0
32000,Baseline,0.945663,0
32100,Baseline,0.946298,0
32200,Baseline,0.946934,0
32299,Baseline,0.947565,0
32400,Baseline,0.948200,0
32500,Baseline,0.948842,0
32600,Baseline,0.949467,0
32700,Baseline,0.950089,0
32800,Baseline,0.950724,0
32900,Baseline,0.951369,0
33000,Baseline,0.952004,0
33100,Baseline,0.952631,0
33200,Baseline,0.953254,0
33300,Baseline,0.953889,0
33400,Baseline,0.954534,0
33500,Baseline,0.955180,0
33600,Baseline,0.955821,0
33700,Baseline,0.956448,0
33800,Baseline,0.957082,0
33900,Baseline,0.957704,0
34000,Baseline,0.958328,0
34100,Baseline,0.958964,0
34200,Baseline,0.959595,0
34300,Baseline,0.960224,0
34400,Baseline,0.960835,0
34500,Baseline,0.961444,0
34600,Baseline,0.962060,0
34700,Baseline,0.962670,0
34800,Baseline,0.963277,0
34900,Baseline,0.963899,0
35000,Baseline,0.964526,0
35100,Baseline,0.965149,0
35200,Baseline,0.965778,0
35300,Baseline,0.966405,0
35400,Baseline,0.967021,0
35500,Baseline,0.967634,0
35600,Baseline,0.968262,0
35700,Baseline,0.968897,0
35800,Baseline,0.969513,0
35900,Baseline,0.970133,0
36000,Baseline,0.970767,0
36100,Baseline,0.971381,0
36200,Baseline,0.972011,0
36300,Baseline,0.972629,0
36400,Baseline,0.973259,0
36500,Baseline,0.973900,0
36600,Baseline,0.974541,0
36700,Baseline,0.975162,0
36800,Baseline,0.975794,0
36900,Baseline,0.976434,0
37000,Baseline,0.977092,0
37100,Baseline,0.977740,0
37200,Baseline,0.978375,0
37300,Baseline,0.979015,0
37400,Baseline,0.979652,0
37500,Baseline,0.980301,0
37600,Baseline,0.980956,0
37700,Baseline,0.981628,0
37800,Baseline,0.982269,0
37900,Baseline,0.982902,0
38000,Baseline,0.983526,0
38100,Baseline,0.984166,0
38200,Baseline,0.984801,0
38300,Baseline,0.985434,0
38400,Baseline,0.986086,0
38500,Baseline,0.986719,0
38600,Baseline,0.987349,0
38700,Baseline,0.987971,0
38800,Baseline,0.988590,0
38900,Baseline,0.989212,0
39000,Baseline,0.989832,0
39100,Baseline,0.990457,0
39200,Baseline,0.991059,0
39300,Baseline,0.991658,0
39400,Baseline,0.992279,0
39500,Baseline,0.992904,0
39600,Baseline,0.993534,0
39700,Baseline,0.994168,0
39800,Baseline,0.994820,0
39900,Baseline,0.995456,0
40000,Baseline,0.996072,0
40100,Baseline,0.996618,0
40200,Baseline,0.996942,0
40300,Baseline,0.997211,0
40400,Baseline,0.997377,0
40500,Baseline,0.997360,0
40600,Baseline,0.997230,0
40700,Baseline,0.997097,0
40800,Baseline,0.996915,0
40900,Baseline,0.996711,0
41000,Baseline,0.996439,0
41100,Baseline,0.995987,0
41200,Baseline,0.995541,0
41300,Baseline,0.995099,0
41400,Baseline,0.994614,0
41500,Baseline,0.994101,0
41600,Baseline,0.993597,0
41700,Baseline,0.993012,0
41800,Baseline,0.992409,0
41900,Baseline,0.991778,0
42000,Baseline,0.991148,0
42100,Baseline,0.990507,0
42200,Baseline,0.989864,0
42300,Baseline,0.989237,0
42400,Baseline,0.988606,0
42500,Baseline,0.987976,0
42600,Baseline,0.987335,0
