seed,node_count,loss_rate,mode,mean_phase_error,sync_failure_bool
33013,10,0.000000,Baseline,0.599285,0
33013,10,0.000000,WNN,0.394011,0
33013,10,0.020000,Baseline,0.598398,0
33013,10,0.020000,WNN,0.387767,0
33013,10,0.050000,Baseline,0.598140,0
33013,10,0.050000,WNN,0.390297,0
33013,10,0.100000,Baseline,0.596118,0
33013,10,0.100000,WNN,0.383263,0
33013,50,0.000000,Baseline,0.594393,0
33013,50,0.000000,WNN,0.392445,0
33013,50,0.020000,Baseline,0.596417,0
33013,50,0.020000,WNN,0.388623,0
33013,50,0.050000,Baseline,0.597416,0
33013,50,0.050000,WNN,0.393146,0
33013,50,0.100000,Baseline,0.597596,0
33013,50,0.100000,WNN,0.384471,0
33013,100,0.000000,Baseline,0.595491,0
33013,100,0.000000,WNN,0.392858,0
33013,100,0.020000,Baseline,0.595619,0
33013,100,0.020000,WNN,0.388003,0
33013,100,0.050000,Baseline,0.598379,0
33013,100,0.050000,WNN,0.376964,0
33013,100,0.100000,Baseline,0.595134,0
33013,100,0.100000,WNN,0.387648,0
33013,500,0.000000,Baseline,0.599523,0
33013,500,0.000000,WNN,0.388405,0
33013,500,0.020000,Baseline,0.596744,0
33013,500,0.020000,WNN,0.392008,0
33013,500,0.050000,Baseline,0.593900,0
33013,500,0.050000,WNN,0.388065,0
33013,500,0.100000,Baseline,0.599059,0
33013,500,0.100000,WNN,0.386494,0
40932,10,0.000000,Baseline,0.596674,0
40932,10,0.000000,WNN,0.391726,0
40932,10,0.020000,Baseline,0.598295,0
40932,10,0.020000,WNN,0.389540,0
40932,10,0.050000,Baseline,0.596810,0
40932,10,0.050000,WNN,0.391955,0
40932,10,0.100000,Baseline,0.599097,0
40932,10,0.100000,WNN,0.381075,0
40932,50,0.000000,Baseline,0.597661,0
40932,50,0.000000,WNN,0.393170,0
40932,50,0.020000,Baseline,0.597026,0
40932,50,0.020000,WNN,0.387905,0
40932,50,0.050000,Baseline,0.598134,0
40932,50,0.050000,WNN,0.391700,0
40932,50,0.100000,Baseline,0.597540,0
40932,50,0.100000,WNN,0.380291,0
40932,100,0.000000,Baseline,0.596175,0
40932,100,0.000000,WNN,0.395252,0
40932,100,0.020000,Baseline,0.597925,0
40932,100,0.020000,WNN,0.393585,0
40932,100,0.050000,Baseline,0.599507,0
40932,100,0.050000,WNN,0.388183,0
40932,100,0.100000,Baseline,0.597384,0
40932,100,0.100000,WNN,0.383638,0
40932,500,0.000000,Baseline,0.597955,0
40932,500,0.000000,WNN,0.391258,0
40932,500,0.020000,Baseline,0.595678,0
40932,500,0.020000,WNN,0.394966,0
40932,500,0.050000,Baseline,0.595887,0
40932,500,0.050000,WNN,0.382644,0
40932,500,0.100000,Baseline,0.597625,0
40932,500,0.100000,WNN,0.382883,0
48851,10,0.000000,Baseline,0.597853,0
48851,10,0.000000,WNN,0.390505,0
48851,10,0.020000,Baseline,0.597234,0
48851,10,0.020000,WNN,0.388806,0
48851,10,0.050000,Baseline,0.597047,0
48851,10,0.050000,WNN,0.385049,0
48851,10,0.100000,Baseline,0.597167,0
48851,10,0.100000,WNN,0.385685,0
48851,50,0.000000,Baseline,0.597762,0
48851,50,0.000000,WNN,0.388098,0
48851,50,0.020000,Baseline,0.597636,0
48851,50,0.020000,WNN,0.390180,0
48851,50,0.050000,Baseline,0.598231,0
48851,50,0.050000,WNN,0.385167,0
48851,50,0.100000,Baseline,0.595518,0
48851,50,0.100000,WNN,0.388614,0
48851,100,0.000000,Baseline,0.597220,0
48851,100,0.000000,WNN,0.392682,0
48851,100,0.020000,Baseline,0.598856,0
48851,100,0.020000,WNN,0.391965,0
48851,100,0.050000,Baseline,0.598635,0
48851,100,0.050000,WNN,0.385657,0
48851,100,0.100000,Baseline,0.598990,0
48851,100,0.100000,WNN,0.389509,0
48851,500,0.000000,Baseline,0.597755,0
48851,500,0.000000,WNN,0.388594,0
48851,500,0.020000,Baseline,0.602421,0
48851,500,0.020000,WNN,0.396283,0
48851,500,0.050000,Baseline,0.597376,0
48851,500,0.050000,WNN,0.385407,0
48851,500,0.100000,Baseline,0.598928,0
48851,500,0.100000,WNN,0.378442,0
56770,10,0.000000,Baseline,0.597285,0
56770,10,0.000000,WNN,0.391631,0
56770,10,0.020000,Baseline,0.596355,0
56770,10,0.020000,WNN,0.387342,0
56770,10,0.050000,Baseline,0.598075,0
56770,10,0.050000,WNN,0.387172,0
56770,10,0.100000,Baseline,0.597826,0
56770,10,0.100000,WNN,0.390009,0
56770,50,0.000000,Baseline,0.596853,0
56770,50,0.000000,WNN,0.394235,0
56770,50,0.020000,Baseline,0.599423,0
56770,50,0.020000,WNN,0.390673,0
56770,50,0.050000,Baseline,0.596601,0
56770,50,0.050000,WNN,0.386795,0
56770,50,0.100000,Baseline,0.593162,0
56770,50,0.100000,WNN,0.384956,0
56770,100,0.000000,Baseline,0.598937,0
56770,100,0.000000,WNN,0.391173,0
56770,100,0.020000,Baseline,0.598787,0
56770,100,0.020000,WNN,0.391847,0
56770,100,0.050000,Baseline,0.595548,0
56770,100,0.050000,WNN,0.394111,0
56770,100,0.100000,Baseline,0.596511,0
56770,100,0.100000,WNN,0.384356,0
56770,500,0.000000,Baseline,0.598394,0
56770,500,0.000000,WNN,0.392619,0
56770,500,0.020000,Baseline,0.598285,0
56770,500,0.020000,WNN,0.392225,0
56770,500,0.050000,Baseline,0.596498,0
56770,500,0.050000,WNN,0.392526,0
56770,500,0.100000,Baseline,0.597505,0
56770,500,0.100000,WNN,0.384241,0
64689,10,0.000000,Baseline,0.596345,0
64689,10,0.000000,WNN,0.393124,0
64689,10,0.020000,Baseline,0.598156,0
64689,10,0.020000,WNN,0.390386,0
64689,10,0.050000,Baseline,0.598010,0
64689,10,0.050000,WNN,0.390313,0
64689,10,0.100000,Baseline,0.598970,0
64689,10,0.100000,WNN,0.389901,0
64689,50,0.000000,Baseline,0.597869,0
64689,50,0.000000,WNN,0.392966,0
64689,50,0.020000,Baseline,0.600905,0
64689,50,0.020000,WNN,0.393647,0
64689,50,0.050000,Baseline,0.598086,0
64689,50,0.050000,WNN,0.391626,0
64689,50,0.100000,Baseline,0.597552,0
64689,50,0.100000,WNN,0.370719,0
64689,100,0.000000,Baseline,0.599457,0
64689,100,0.000000,WNN,0.391887,0
64689,100,0.020000,Baseline,0.598067,0
64689,100,0.020000,WNN,0.386804,0
64689,100,0.050000,Baseline,0.595457,0
64689,100,0.050000,WNN,0.387040,0
64689,100,0.100000,Baseline,0.599510,0
64689,100,0.100000,WNN,0.379490,0
64689,500,0.000000,Baseline,0.599446,0
64689,500,0.000000,WNN,0.389963,0
64689,500,0.020000,Baseline,0.597456,0
64689,500,0.020000,WNN,0.387677,0
64689,500,0.050000,Baseline,0.595343,0
64689,500,0.050000,WNN,0.383036,0
64689,500,0.100000,Baseline,0.598860,0
64689,500,0.100000,WNN,0.383769,0
72608,10,0.000000,Baseline,0.598033,0
72608,10,0.000000,WNN,0.391588,0
72608,10,0.020000,Baseline,0.596057,0
72608,10,0.020000,WNN,0.388226,0
72608,10,0.050000,Baseline,0.597683,0
72608,10,0.050000,WNN,0.384368,0
72608,10,0.100000,Baseline,0.596606,0
72608,10,0.100000,WNN,0.377129,0
72608,50,0.000000,Baseline,0.596463,0
72608,50,0.000000,WNN,0.391517,0
72608,50,0.020000,Baseline,0.598147,0
72608,50,0.020000,WNN,0.387739,0
72608,50,0.050000,Baseline,0.597553,0
72608,50,0.050000,WNN,0.388510,0
72608,50,0.100000,Baseline,0.598917,0
72608,50,0.100000,WNN,0.378745,0
72608,100,0.000000,Baseline,0.598614,0
72608,100,0.000000,WNN,0.390118,0
72608,100,0.020000,Baseline,0.598782,0
72608,100,0.020000,WNN,0.390981,0
72608,100,0.050000,Baseline,0.598993,0
72608,100,0.050000,WNN,0.387690,0
72608,100,0.100000,Baseline,0.593149,0
72608,100,0.100000,WNN,0.381569,0
72608,500,0.000000,Baseline,0.596876,0
72608,500,0.000000,WNN,0.384676,0
72608,500,0.020000,Baseline,0.598247,0
72608,500,0.020000,WNN,0.392145,0
72608,500,0.050000,Baseline,0.599312,0
72608,500,0.050000,WNN,0.386871,0
72608,500,0.100000,Baseline,0.595975,0
72608,500,0.100000,WNN,0.383988,0
80527,10,0.000000,Baseline,0.600716,0
80527,10,0.000000,WNN,0.391383,0
80527,10,0.020000,Baseline,0.593630,0
80527,10,0.020000,WNN,0.390939,0
80527,10,0.050000,Baseline,0.596078,0
80527,10,0.050000,WNN,0.384027,0
80527,10,0.100000,Baseline,0.597357,0
80527,10,0.100000,WNN,0.386067,0
80527,50,0.000000,Baseline,0.596310,0
80527,50,0.000000,WNN,0.392272,0
80527,50,0.020000,Baseline,0.598211,0
80527,50,0.020000,WNN,0.390400,0
80527,50,0.050000,Baseline,0.599338,0
80527,50,0.050000,WNN,0.392840,0
80527,50,0.100000,Baseline,0.596402,0
80527,50,0.100000,WNN,0.388086,0
80527,100,0.000000,Baseline,0.599936,0
80527,100,0.000000,WNN,0.388167,0
80527,100,0.020000,Baseline,0.601114,0
80527,100,0.020000,WNN,0.393306,0
80527,100,0.050000,Baseline,0.598321,0
80527,100,0.050000,WNN,0.391767,0
80527,100,0.100000,Baseline,0.596219,0
80527,100,0.100000,WNN,0.387033,0
80527,500,0.000000,Baseline,0.597525,0
80527,500,0.000000,WNN,0.389989,0
80527,500,0.020000,Baseline,0.600067,0
80527,500,0.020000,WNN,0.390057,0
80527,500,0.050000,Baseline,0.596101,0
80527,500,0.050000,WNN,0.383481,0
80527,500,0.100000,Baseline,0.595713,0
80527,500,0.100000,WNN,0.384925,0
88446,10,0.000000,Baseline,0.596312,0
88446,10,0.000000,WNN,0.393573,0
88446,10,0.020000,Baseline,0.596348,0
88446,10,0.020000,WNN,0.387609,0
88446,10,0.050000,Baseline,0.598704,0
88446,10,0.050000,WNN,0.394316,0
88446,10,0.100000,Baseline,0.598979,0
88446,10,0.100000,WNN,0.385784,0
88446,50,0.000000,Baseline,0.597243,0
88446,50,0.000000,WNN,0.389726,0
88446,50,0.020000,Baseline,0.600491,0
88446,50,0.020000,WNN,0.389919,0
88446,50,0.050000,Baseline,0.599725,0
88446,50,0.050000,WNN,0.385207,0
88446,50,0.100000,Baseline,0.597003,0
88446,50,0.100000,WNN,0.387046,0
88446,100,0.000000,Baseline,0.594390,0
88446,100,0.000000,WNN,0.394708,0
88446,100,0.020000,Baseline,0.599545,0
88446,100,0.020000,WNN,0.392137,0
88446,100,0.050000,Baseline,0.595644,0
88446,100,0.050000,WNN,0.391950,0
88446,100,0.100000,Baseline,0.595773,0
88446,100,0.100000,WNN,0.379641,0
88446,500,0.000000,Baseline,0.601051,0
88446,500,0.000000,WNN,0.390393,0
88446,500,0.020000,Baseline,0.594882,0
88446,500,0.020000,WNN,0.396281,0
88446,500,0.050000,Baseline,0.595918,0
88446,500,0.050000,WNN,0.390569,0
88446,500,0.100000,Baseline,0.596433,0
88446,500,0.100000,WNN,0.390890,0
96365,10,0.000000,Baseline,0.595679,0
96365,10,0.000000,WNN,0.392254,0
96365,10,0.020000,Baseline,0.597203,0
96365,10,0.020000,WNN,0.388820,0
96365,10,0.050000,Baseline,0.596112,0
96365,10,0.050000,WNN,0.388019,0
96365,10,0.100000,Baseline,0.599174,0
96365,10,0.100000,WNN,0.381603,0
96365,50,0.000000,Baseline,0.594487,0
96365,50,0.000000,WNN,0.393840,0
96365,50,0.020000,Baseline,0.594920,0
96365,50,0.020000,WNN,0.389753,0
96365,50,0.050000,Baseline,0.594614,0
96365,50,0.050000,WNN,0.391405,0
96365,50,0.100000,Baseline,0.600300,0
96365,50,0.100000,WNN,0.385216,0
96365,100,0.000000,Baseline,0.594475,0
96365,100,0.000000,WNN,0.386480,0
96365,100,0.020000,Baseline,0.596554,0
96365,100,0.020000,WNN,0.385884,0
96365,100,0.050000,Baseline,0.595098,0
96365,100,0.050000,WNN,0.392316,0
96365,100,0.100000,Baseline,0.598022,0
96365,100,0.100000,WNN,0.387707,0
96365,500,0.000000,Baseline,0.598832,0
96365,500,0.000000,WNN,0.391363,0
96365,500,0.020000,Baseline,0.595854,0
96365,500,0.020000,WNN,0.394724,0
96365,500,0.050000,Baseline,0.598864,0
96365,500,0.050000,WNN,0.391070,0
96365,500,0.100000,Baseline,0.598643,0
96365,500,0.100000,WNN,0.385172,0
104284,10,0.000000,Baseline,0.599169,0
104284,10,0.000000,WNN,0.390899,0
104284,10,0.020000,Baseline,0.598072,0
104284,10,0.020000,WNN,0.392420,0
104284,10,0.050000,Baseline,0.594755,0
104284,10,0.050000,WNN,0.394647,0
104284,10,0.100000,Baseline,0.600205,0
104284,10,0.100000,WNN,0.388616,0
104284,50,0.000000,Baseline,0.596848,0
104284,50,0.000000,WNN,0.395240,0
104284,50,0.020000,Baseline,0.597160,0
104284,50,0.020000,WNN,0.389216,0
104284,50,0.050000,Baseline,0.596475,0
104284,50,0.050000,WNN,0.389506,0
104284,50,0.100000,Baseline,0.598837,0
104284,50,0.100000,WNN,0.380417,0
104284,100,0.000000,Baseline,0.593881,0
104284,100,0.000000,WNN,0.391395,0
104284,100,0.020000,Baseline,0.599635,0
104284,100,0.020000,WNN,0.393275,0
104284,100,0.050000,Baseline,0.599359,0
104284,100,0.050000,WNN,0.390368,0
104284,100,0.100000,Baseline,0.596935,0
104284,100,0.100000,WNN,0.380774,0
104284,500,0.000000,Baseline,0.597961,0
104284,500,0.000000,WNN,0.391157,0
104284,500,0.020000,Baseline,0.598146,0
104284,500,0.020000,WNN,0.391874,0
104284,500,0.050000,Baseline,0.595424,0
104284,500,0.050000,WNN,0.390585,0
